relative_path,file_name,file_type,file_size_bytes,file_size_kb,file_size_mb,last_modified,days_since_mod,age_days,depth,top_level_folder,production_vs_debug,suggested_action,suggested_target,confidence,reason
rollups\PREvsPST\pre_vs_pst_730d_730d_20260702_104133\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-02 17:42:09,5.2,5.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_730d_20260702_104133\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,1041252,1016.85,0.993,2026-07-02 17:42:23,5.2,5.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_730d_20260702_104133\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,1561905,1525.3,1.49,2026-07-02 17:42:05,5.2,5.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_730d_20260702_104133\pre_pst_joined.csv,pre_pst_joined.csv,.csv,3442377,3361.7,3.283,2026-07-02 17:42:20,5.2,5.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_730d_20260702_104133\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-02 17:42:09,5.2,5.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_730d_20260702_104133\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,1317104,1286.23,1.256,2026-07-02 17:42:09,5.2,5.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_730d_20260702_104133\run_summary.json,run_summary.json,.json,1691,1.65,0.002,2026-07-02 17:42:23,5.2,5.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v2_730d_20260702_204722\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-03 03:47:49,4.8,4.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v2_730d_20260702_204722\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,1061839,1036.95,1.013,2026-07-03 03:48:08,4.8,4.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v2_730d_20260702_204722\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,1307180,1276.54,1.247,2026-07-03 03:47:44,4.8,4.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v2_730d_20260702_204722\pre_pst_joined.csv,pre_pst_joined.csv,.csv,3392351,3312.84,3.235,2026-07-03 03:48:04,4.8,4.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v2_730d_20260702_204722\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-03 03:47:49,4.8,4.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v2_730d_20260702_204722\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,1100062,1074.28,1.049,2026-07-03 03:47:48,4.8,4.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v2_730d_20260702_204722\run_summary.json,run_summary.json,.json,1504,1.47,0.001,2026-07-03 03:48:09,4.8,4.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v3_730d_20260703_102256\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-03 17:23:44,4.2,4.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v3_730d_20260703_102256\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,1062323,1037.42,1.013,2026-07-03 17:24:00,4.2,4.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v3_730d_20260703_102256\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,1307564,1276.92,1.247,2026-07-03 17:23:40,4.2,4.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v3_730d_20260703_102256\pre_pst_joined.csv,pre_pst_joined.csv,.csv,3431584,3351.16,3.273,2026-07-03 17:23:56,4.2,4.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v3_730d_20260703_102256\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-03 17:23:44,4.2,4.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v3_730d_20260703_102256\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,1100819,1075.02,1.05,2026-07-03 17:23:44,4.2,4.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v3_730d_20260703_102256\run_summary.json,run_summary.json,.json,1504,1.47,0.001,2026-07-03 17:24:00,4.2,4.2,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v4_730d_20260704_212223\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-05 04:23:03,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v4_730d_20260704_212223\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,1275174,1245.29,1.216,2026-07-05 04:23:33,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v4_730d_20260704_212223\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,1555996,1519.53,1.484,2026-07-05 04:22:57,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v4_730d_20260704_212223\pre_pst_joined.csv,pre_pst_joined.csv,.csv,5041479,4923.32,4.808,2026-07-05 04:23:28,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v4_730d_20260704_212223\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-05 04:23:03,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v4_730d_20260704_212223\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,1298932,1268.49,1.239,2026-07-05 04:23:03,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v4_730d_20260704_212223\run_summary.json,run_summary.json,.json,1940,1.89,0.002,2026-07-05 04:23:33,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v5_integrated_730d_20260705_194638\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-06 02:47:21,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v5_integrated_730d_20260705_194638\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,1283286,1253.21,1.224,2026-07-06 02:47:42,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v5_integrated_730d_20260705_194638\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,1564668,1528.0,1.492,2026-07-06 02:47:17,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v5_integrated_730d_20260705_194638\pre_pst_joined.csv,pre_pst_joined.csv,.csv,5074916,4955.97,4.84,2026-07-06 02:47:38,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v5_integrated_730d_20260705_194638\pre_pst_regen_join_summary.json,pre_pst_regen_join_summary.json,.json,919,0.9,0.001,2026-07-06 02:48:02,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v5_integrated_730d_20260705_194638\pre_pst_regen_joined.csv,pre_pst_regen_joined.csv,.csv,5577836,5447.11,5.319,2026-07-06 02:48:02,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v5_integrated_730d_20260705_194638\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-06 02:47:21,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v5_integrated_730d_20260705_194638\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,1309348,1278.66,1.249,2026-07-06 02:47:21,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v5_integrated_730d_20260705_194638\run_summary.json,run_summary.json,.json,3126,3.05,0.003,2026-07-06 02:48:02,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v6_fallbackfix_730d_20260705_201511\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-06 03:17:02,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v6_fallbackfix_730d_20260705_201511\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,1283383,1253.3,1.224,2026-07-06 03:17:49,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v6_fallbackfix_730d_20260705_201511\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,1564797,1528.12,1.492,2026-07-06 03:16:51,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v6_fallbackfix_730d_20260705_201511\pre_pst_joined.csv,pre_pst_joined.csv,.csv,5050725,4932.35,4.817,2026-07-06 03:17:39,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v6_fallbackfix_730d_20260705_201511\pre_pst_regen_join_summary.json,pre_pst_regen_join_summary.json,.json,921,0.9,0.001,2026-07-06 03:18:34,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v6_fallbackfix_730d_20260705_201511\pre_pst_regen_joined.csv,pre_pst_regen_joined.csv,.csv,5563062,5432.68,5.305,2026-07-06 03:18:34,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v6_fallbackfix_730d_20260705_201511\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-06 03:17:02,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v6_fallbackfix_730d_20260705_201511\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,1309348,1278.66,1.249,2026-07-06 03:17:01,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_730d_v6_fallbackfix_730d_20260705_201511\run_summary.json,run_summary.json,.json,3128,3.05,0.003,2026-07-06 03:18:34,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_7d_20260704_204551\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-05 03:46:14,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_7d_20260704_204551\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,20626,20.14,0.02,2026-07-05 03:46:18,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_7d_20260704_204551\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,27018,26.38,0.026,2026-07-05 03:46:13,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_7d_20260704_204551\pre_pst_joined.csv,pre_pst_joined.csv,.csv,79200,77.34,0.076,2026-07-05 03:46:17,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_7d_20260704_204551\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-05 03:46:15,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_7d_20260704_204551\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,19481,19.02,0.019,2026-07-05 03:46:14,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_7d_20260704_204551\run_summary.json,run_summary.json,.json,1872,1.83,0.002,2026-07-05 03:46:18,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_8d_20260704_210205\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-05 04:02:17,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_8d_20260704_210205\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,26035,25.42,0.025,2026-07-05 04:02:18,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_8d_20260704_210205\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,33926,33.13,0.032,2026-07-05 04:02:16,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_8d_20260704_210205\pre_pst_joined.csv,pre_pst_joined.csv,.csv,100879,98.51,0.096,2026-07-05 04:02:18,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_8d_20260704_210205\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-05 04:02:17,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_8d_20260704_210205\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,25433,24.84,0.024,2026-07-05 04:02:17,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_fullouter_seg_check_8d_20260704_210205\run_summary.json,run_summary.json,.json,1872,1.83,0.002,2026-07-05 04:02:18,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_check_8d_20260705_194604\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-06 02:46:15,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_check_8d_20260705_194604\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,28300,27.64,0.027,2026-07-06 02:46:15,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_check_8d_20260705_194604\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,36077,35.23,0.034,2026-07-06 02:46:14,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_check_8d_20260705_194604\pre_pst_joined.csv,pre_pst_joined.csv,.csv,105432,102.96,0.101,2026-07-06 02:46:15,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_check_8d_20260705_194604\pre_pst_regen_join_summary.json,pre_pst_regen_join_summary.json,.json,913,0.89,0.001,2026-07-06 02:46:16,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_check_8d_20260705_194604\pre_pst_regen_joined.csv,pre_pst_regen_joined.csv,.csv,117814,115.05,0.112,2026-07-06 02:46:16,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_check_8d_20260705_194604\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-06 02:46:15,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_check_8d_20260705_194604\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,29897,29.2,0.029,2026-07-06 02:46:15,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_check_8d_20260705_194604\run_summary.json,run_summary.json,.json,3020,2.95,0.003,2026-07-06 02:46:16,1.9,1.9,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_fixcheck_8d_20260705_201339\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-06 03:13:52,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_fixcheck_8d_20260705_201339\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,28386,27.72,0.027,2026-07-06 03:13:54,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_fixcheck_8d_20260705_201339\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,36206,35.36,0.035,2026-07-06 03:13:52,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_fixcheck_8d_20260705_201339\pre_pst_joined.csv,pre_pst_joined.csv,.csv,104884,102.43,0.1,2026-07-06 03:13:54,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_fixcheck_8d_20260705_201339\pre_pst_regen_join_summary.json,pre_pst_regen_join_summary.json,.json,919,0.9,0.001,2026-07-06 03:13:57,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_fixcheck_8d_20260705_201339\pre_pst_regen_joined.csv,pre_pst_regen_joined.csv,.csv,117585,114.83,0.112,2026-07-06 03:13:56,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_fixcheck_8d_20260705_201339\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-06 03:13:53,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_fixcheck_8d_20260705_201339\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,29897,29.2,0.029,2026-07-06 03:13:52,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_integrated_regen_fixcheck_8d_20260705_201339\run_summary.json,run_summary.json,.json,3026,2.96,0.003,2026-07-06 03:13:57,1.8,1.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lst_check_7d_20260703_102056\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-03 17:21:05,4.3,4.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lst_check_7d_20260703_102056\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,18309,17.88,0.017,2026-07-03 17:21:06,4.3,4.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lst_check_7d_20260703_102056\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,23016,22.48,0.022,2026-07-03 17:21:05,4.3,4.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lst_check_7d_20260703_102056\pre_pst_joined.csv,pre_pst_joined.csv,.csv,62454,60.99,0.06,2026-07-03 17:21:05,4.3,4.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lst_check_7d_20260703_102056\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-03 17:21:05,4.3,4.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lst_check_7d_20260703_102056\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,22279,21.76,0.021,2026-07-03 17:21:05,4.3,4.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lst_check_7d_20260703_102056\run_summary.json,run_summary.json,.json,1450,1.42,0.001,2026-07-03 17:21:06,4.3,4.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211706\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-05 04:17:17,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211706\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,26035,25.42,0.025,2026-07-05 04:17:18,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211706\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,33926,33.13,0.032,2026-07-05 04:17:16,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211706\pre_pst_joined.csv,pre_pst_joined.csv,.csv,101671,99.29,0.097,2026-07-05 04:17:18,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211706\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-05 04:17:17,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211706\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,25433,24.84,0.024,2026-07-05 04:17:17,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211706\run_summary.json,run_summary.json,.json,1872,1.83,0.002,2026-07-05 04:17:18,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211716\pre_defects_raw.csv,pre_defects_raw.csv,.csv,2,0.0,0.0,2026-07-05 04:17:27,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211716\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,26035,25.42,0.025,2026-07-05 04:17:28,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211716\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,33926,33.13,0.032,2026-07-05 04:17:27,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211716\pre_pst_joined.csv,pre_pst_joined.csv,.csv,101671,99.29,0.097,2026-07-05 04:17:28,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211716\pst_defects_raw.csv,pst_defects_raw.csv,.csv,2,0.0,0.0,2026-07-05 04:17:27,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211716\pst_metrics_raw.csv,pst_metrics_raw.csv,.csv,25433,24.84,0.024,2026-07-05 04:17:27,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_lstscan_check_8d_20260704_211716\run_summary.json,run_summary.json,.json,1872,1.83,0.002,2026-07-05 04:17:28,2.8,2.8,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_pilot_7d_7d_20260702_095845\pre_defects_raw.csv,pre_defects_raw.csv,.csv,533289,520.79,0.509,2026-07-02 16:59:11,5.3,5.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_pilot_7d_7d_20260702_095845\pre_match_diagnostics.csv,pre_match_diagnostics.csv,.csv,22926,22.39,0.022,2026-07-02 16:59:13,5.3,5.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_pilot_7d_7d_20260702_095845\pre_metrics_raw.csv,pre_metrics_raw.csv,.csv,34517,33.71,0.033,2026-07-02 16:59:09,5.3,5.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_pilot_7d_7d_20260702_095845\pre_pst_joined.csv,pre_pst_joined.csv,.csv,80704,78.81,0.077,2026-07-02 16:59:13,5.3,5.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
rollups\PREvsPST\pre_vs_pst_pilot_7d_7d_20260702_095845\pst_defects_raw.csv,pst_defects_raw.csv,.csv,128944,125.92,0.123,2026-07-02 16:59:12,5.3,5.3,3,rollups,PRODUCTION,archive,rollups\,Medium,legacy or superseded output
