image_name,WAFER_KEY,INSPECTION_TIME,DEFECT_ID,SIZE_X,SIZE_Y,SIZE_D,AREA,MANUAL_OPTICAL_CLASS
260711_1924_D616510_405_BEEP_8M6CL_35_3.jpg,8435220,2026-07-11 20:34:13,35,1080.0,1170.0,1170.0,172828.0,0.0
260608_1541_D611336_087_SMP_8M5CL_175_3.jpg,8751860,2026-06-08 17:07:08,175,270.0,360.0,360.0,2300.0,0.0
260718_0052_D616559_578_SMP_8M5CL_105_2.jpg,8447956,2026-07-18 01:49:47,105,809.0,720.0,810.0,13708.0,2.0
260705_0340_D614208_337_BEEP_8M5CL_139_2.jpg,8358514,2026-07-05 05:25:14,139,1260.0,1799.0,1800.0,51168.0,94.0
260705_0340_D614208_337_SMP_8M5CL_129_2.jpg,8358514,2026-07-05 05:25:14,129,270.0,270.0,270.0,2544.0,83.0
260627_0930_D615309_313_BEEP_8M5CL_83_2.jpg,8393107,2026-06-28 04:56:55,83,540.0,360.0,540.0,4530.0,0.0
260601_1600_D608642_384_SMP_8M6CL_144_3.jpg,8129916,2026-06-01 19:39:08,144,449.0,449.0,450.0,4779.0,0.0
260704_2302_D613627_669_SMP_8M6CL_590_2.jpg,8306875,2026-07-05 01:46:43,590,360.0,270.0,360.0,1897.0,83.0
260715_0031_D602107_324_SMP_8M6CL_182_3.jpg,7907643,2026-07-15 01:11:34,182,809.0,809.0,810.0,13097.0,0.0
260529_2052_D611340_425_SMP_8M5CL_13963_2.jpg,8234725,2026-05-30 03:30:59,13963,270.0,180.0,270.0,3501.0,0.0
260705_0017_D612481_022_SMP_8M6CL_57_2.jpg,8272282,2026-07-05 01:31:02,57,270.0,360.0,360.0,1798.0,83.0
260609_0949_D610257_439_BEEP_8M6CL_923_2.jpg,8203336,2026-06-09 11:30:48,923,270.0,270.0,270.0,2437.0,83.0
260703_2345_D614266_051_BEEP_8M6CL_25_2.jpg,8340068,2026-07-04 01:35:09,25,2160.0,1799.0,2160.0,341970.0,0.0
260709_1352_D615295_162_BEEP_8M5CL_3_3.jpg,8385652,2026-07-09 23:08:27,3,1799.0,1980.0,1980.0,524811.0,37.0
260529_1803_D610888_227_SMP_8M5CL_22799_3.jpg,8389456,2026-06-01 23:50:25,22799,809.0,899.0,900.0,19600.0,2.0
260607_2019_D611324_265_SMP_8M5CL_2004_2.jpg,8229455,2026-06-07 23:42:41,2004,360.0,270.0,360.0,3568.0,0.0
260531_0719_D609137_061_BEEP_8M5CL_1953_2.jpg,8169643,2026-05-31 09:22:59,1953,630.0,630.0,630.0,10272.0,37.0
260705_0017_D612481_022_SMP_8M6CL_1_3.jpg,8272282,2026-07-05 01:31:02,1,630.0,630.0,630.0,4510.0,83.0
